"Domain"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"SubSpecie"	"Specie"	"taxRank"	"taxID"	"Max"	"A54.cladeReads"	"A55.cladeReads"	"A56.cladeReads"	"A57.cladeReads"	"A58.cladeReads"	"A59.cladeReads"	"A60.cladeReads"	"A61.cladeReads"	"A62.cladeReads"	"A63.cladeReads"
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Blautia"	"G"	572511	26329	26329	20863	6813	8683	15261	12461	7723	18004	14700	8974
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	NA	"Blautia hansenii"	"S"	1322	11266	10894	11266	4046	6367	6734	4610	3614	9094	5433	3296
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	NA	"Blautia sp. N6H1-15"	"S"	1912897	7126	7126	4152	2767	997	4419	3779	2602	3838	6938	3003
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	NA	"Blautia sp. YL58"	"S"	1796616	7805	7805	5444	NA	NA	3527	3514	1294	4032	1408	1842
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	NA	"Blautia coccoides"	"S"	1532	1318	503	NA	NA	1318	579	556	211	1038	920	830
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Butyrivibrio"	"G"	830	7283	7283	5427	1781	1915	5940	2486	2161	3827	2303	2879
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Butyrivibrio"	NA	"Butyrivibrio fibrisolvens"	"S"	831	2799	2799	1950	337	500	1833	843	538	1590	932	1388
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Butyrivibrio"	NA	"Butyrivibrio proteoclasticus"	"S"	43305	2526	2526	1807	1053	891	2228	1071	1239	1107	1076	1003
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Butyrivibrio"	NA	"Butyrivibrio hungatei"	"S"	185008	1957	1957	1669	390	523	1878	571	383	1129	294	487
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Lachnoanaerobaculum"	"G"	1164882	1841	1841	1076	1389	977	1268	730	1036	1625	736	1222
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoanaerobaculum"	NA	"Lachnoanaerobaculum umeaense"	"S"	617123	1841	1841	1076	1389	977	1268	730	1036	1625	736	1222
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Herbinix"	"G"	1663717	1429	1429	1012	131	149	701	339	205	670	160	343
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Herbinix"	NA	"Herbinix luporum"	"S"	1679721	1429	1429	1012	131	149	701	339	205	670	160	343
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Anaerotignum"	"G"	2039240	1297	843	1297	150	221	861	687	250	835	110	225
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerotignum"	NA	"Anaerotignum propionicum"	"S"	28446	1297	843	1297	150	221	861	687	250	835	110	225
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	NA	NA	"Cellulosilyticum"	"G"	698776	2175	799	642	363	577	670	248	266	633	611	2175
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Cellulosilyticum"	NA	"Cellulosilyticum lentocellum"	"S"	29360	2175	799	642	363	577	670	248	266	633	611	2175
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA	"Eubacteriaceae"	"F"	186806	154880	154883	57185	14687	7247	50921	35208	23391	62037	20504	64222
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	NA	NA	"Eubacterium"	"G"	1730	154260	154260	56617	14365	7062	50460	35116	23250	61533	19328	63414
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Eubacterium"	NA	"[Eubacterium] eligens"	"S"	39485	104540	104539	34424	2096	2976	14125	4352	5454	25240	2208	41135
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Eubacterium"	NA	"[Eubacterium] hallii"	"S"	39488	42152	42152	16490	9459	2651	31350	28321	14139	29748	14590	17329
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Eubacterium"	NA	"Eubacterium limosum"	"S"	1736	4310	4310	3408	2383	331	2301	1298	1744	3888	1762	3841
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Eubacterium"	NA	"[Eubacterium] cellulosolvens"	"S"	29322	3257	3257	2293	425	1103	2683	1144	1912	2654	766	1108
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	NA	NA	"Acetobacterium"	"G"	33951	1175	623	567	322	185	460	92	140	504	1175	807
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Acetobacterium"	NA	"Acetobacterium sp. KB-1"	"S"	2184575	1153	441	403	308	103	257	58	95	378	1153	759
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Eubacteriaceae"	"Acetobacterium"	NA	"Acetobacterium woodii"	"S"	33952	203	182	163	14	81	203	33	45	126	22	48
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA	"unclassified Clostridiales"	"-"	186813	159270	106281	159269	6024	11108	43332	17800	7797	117379	9795	8793
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"unclassified Clostridiales"	NA	NA	"Intestinimonas"	"G"	1392389	88537	51773	88537	1848	4742	25355	8319	3780	63665	4414	3257
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"unclassified Clostridiales"	"Intestinimonas"	NA	"Intestinimonas butyriciproducens"	"S"	1297617	88537	51773	88537	1848	4742	25355	8319	3780	63665	4414	3257
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"unclassified Clostridiales"	NA	NA	"unclassified Clostridiales (miscellaneous)"	"-"	39779	67342	51014	67342	3656	4980	16363	8299	3634	50590	4396	3981
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"unclassified Clostridiales"	"unclassified Clostridiales (miscellaneous)"	NA	"Clostridiales bacterium CCNA10"	"S"	2109688	67342	51014	67342	3656	4980	16363	8299	3634	50590	4396	3981
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"unclassified Clostridiales"	NA	NA	"Monoglobus"	"G"	2039302	3493	3493	3389	519	1385	1612	1181	381	3123	984	1554
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"unclassified Clostridiales"	"Monoglobus"	NA	"Monoglobus pectinilyticus"	"S"	1981510	3493	3493	3389	519	1385	1612	1181	381	3123	984	1554
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA	"Oscillospiraceae"	"F"	216572	106050	77720	106046	2393	2970	30713	7456	3493	81818	9660	1466
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	NA	NA	"Oscillibacter"	"G"	459786	106050	77720	106046	2393	2970	30713	7456	3493	81818	9660	1466
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	"Oscillibacter"	NA	"Oscillibacter sp. PEA192"	"S"	2109687	82382	61569	82382	1208	1656	22267	5155	1740	62098	8499	1137
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	"Oscillibacter"	NA	"Oscillibacter valericigenes"	"S"	351091	23663	16151	23663	1184	1314	8445	2300	1752	19720	1161	329
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	NA	NA	NA	"Clostridiaceae"	"F"	31979	358060	50989	50111	27850	358061	41786	19451	22830	58382	15726	72981
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA	"Clostridium"	"G"	1485	353850	39639	37163	24423	353851	36259	14383	19423	50795	12454	69435
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium sporogenes"	"S"	1509	24069	17318	19635	5608	10224	24069	6546	9493	19195	4188	18308
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium sp. SY8519"	"S"	1042156	3100	2661	2848	397	249	1558	911	1950	3100	546	1284
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium botulinum"	"S"	1491	12363	2289	2098	3854	12363	1548	1332	1704	2964	1861	5735
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium perfringens"	"S"	1502	249390	1975	1197	2977	249387	966	862	687	5146	888	8231
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium butyricum"	"S"	1492	17807	1292	746	902	17807	730	324	487	1777	666	4575
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium pasteurianum"	"S"	1501	1415	993	741	547	1415	735	206	208	699	344	1126
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium baratii"	"S"	1561	6684	972	488	628	6684	340	195	272	1390	96	3428
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium tyrobutyricum"	"S"	1519	806	806	219	122	356	185	190	39	365	68	261
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium isatidis"	"S"	182773	4969	759	474	300	4969	276	224	134	1326	117	2745
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium saccharoperbutylacetonicum"	"S"	36745	2936	670	367	506	2936	538	189	584	650	87	1326
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium cellulovorans"	"S"	1493	1223	652	320	1020	1223	371	440	244	714	131	774
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium saccharobutylicum"	"S"	169679	2626	646	360	622	2626	348	177	344	660	101	1352
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium bornimense"	"S"	1216932	2694	656	798	362	2694	380	156	239	1123	59	1828
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium beijerinckii"	"S"	1520	7259	746	602	1086	7259	604	270	387	1195	250	1693
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium sp. DL-VIII"	"S"	641107	2068	590	450	430	2068	338	158	169	944	293	1004
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium chauvoei"	"S"	46867	6421	567	406	500	6421	199	150	158	1525	51	3685
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium septicum"	"S"	1504	6434	543	268	432	6434	153	126	160	1435	273	4030
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium kluyveri"	"S"	1534	1005	499	521	318	1005	238	500	144	803	66	533
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium sp. BNL1100"	"S"	755731	715	485	715	115	245	346	77	57	270	34	132
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium carboxidivorans"	"S"	217159	1177	496	241	158	1177	127	76	67	306	38	540
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium argentinense"	"S"	29341	1779	477	320	142	1779	199	131	438	497	28	1208
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium estertheticum"	"S"	238834	1029	431	493	546	1029	209	103	132	481	98	397
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium novyi"	"S"	1542	1279	434	253	256	1279	147	149	77	394	46	505
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium formicaceticum"	"S"	1497	681	376	368	301	463	457	242	681	148	235	423
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium acetobutylicum"	"S"	1488	691	363	326	565	691	188	89	59	292	105	367
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium tetani"	"S"	1513	845	308	199	248	845	161	105	48	501	74	577
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium taeniosporum"	"S"	394958	3141	266	209	627	3141	111	124	65	816	70	1414
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium drakei"	"S"	332101	1244	296	133	71	1244	40	43	34	217	24	269
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium sp. JN500901"	"S"	2068654	690	257	538	77	690	149	44	29	680	389	342
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium cochlearium"	"S"	1494	645	250	189	163	645	134	53	34	262	20	305
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium aceticum"	"S"	84022	231	231	228	37	188	132	57	28	105	21	59
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium scatologenes"	"S"	1548	741	152	251	58	741	154	65	49	231	31	354
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium autoethanogenum"	"S"	84023	727	120	44	388	727	16	25	48	51	65	136
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium sp. MF28"	"S"	1702238	1349	31	42	43	1349	36	11	4	103	NA	279
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	NA	"Clostridium ljungdahlii"	"S"	1538	1482	15	59	3	1482	59	14	155	412	1075	194
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA	"Mordavella"	"G"	1981033	10776	9387	10776	2623	2098	4584	3933	2699	5406	1897	2012
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Mordavella"	NA	"Mordavella sp. Marseille-P3756"	"S"	2086584	10776	9387	10776	2623	2098	4584	3933	2699	5406	1897	2012
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	NA	NA	"Alkaliphilus"	"G"	114627	676	542	676	195	302	288	92	50	558	522	413
"cellular organisms"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Alkaliphilus"	NA	"Alkaliphilus oremlandii"	"S"	461876	436	365	434	165	165	154	54	33	436	34	66
